Make,Symboling,Body-Style,Num-of-Cylinders,City-MPG,Highway-MPG,Price
mazda,3,hatchback,2,17,23,10945
mazda,3,hatchback,2,17,23,11845
mazda,3,hatchback,2,17,23,13645
mazda,3,hatchback,2,16,23,15645
mazda,1,hatchback,4,26,32,8845
mazda,0,sedan,4,26,32,8495
mazda,1,hatchback,4,26,32,10595
mazda,0,sedan,4,26,32,10245
mazda,0,sedan,4,36,42,10795
mazda,0,hatchback,4,26,32,11245
mazda,0,sedan,4,19,27,18280
mazda,0,sedan,4,31,39,18344
mercedes-benz,-1,sedan,5,22,25,25552
mercedes-benz,-1,suv,5,22,25,28248
mercedes-benz,0,convertible,5,22,25,28176
mercedes-benz,-1,sedan,5,22,25,31600
mercedes-benz,-1,sedan,8,16,18,34184
mercedes-benz,3,convertible,8,16,18,35056
mercedes-benz,0,sedan,8,14,16,40960
mercedes-benz,1,convertible,8,14,16,45400
mercury,1,hatchback,4,19,24,16503
mitsubishi,2,hatchback,4,37,41,5389
mitsubishi,2,hatchback,4,31,38,6189
mitsubishi,2,hatchback,4,31,38,6669
mitsubishi,1,hatchback,4,24,30,7689
mitsubishi,3,hatchback,4,23,30,9959
mitsubishi,3,hatchback,4,25,32,8499
mitsubishi,3,hatchback,4,19,24,12629
mitsubishi,3,hatchback,4,19,24,14869
mitsubishi,3,hatchback,4,19,24,14489
mitsubishi,1,sedan,4,25,32,6989
mitsubishi,1,sedan,4,25,32,8189
mitsubishi,1,sedan,4,23,30,9279
mitsubishi,-1,sedan,4,23,30,9279
nissan,1,sedan,4,31,37,5499
nissan,1,sedan,4,45,50,7099
nissan,1,sedan,4,31,37,6649
nissan,1,sedan,4,31,37,6849
nissan,1,suv,4,31,37,7349
nissan,1,sedan,4,31,37,7299
nissan,1,hatchback,4,31,37,7799
nissan,1,sedan,4,31,37,7499
nissan,1,suv,4,31,37,7999
nissan,2,convertible,4,31,37,8249
nissan,0,hatchback,4,27,34,8949
nissan,0,sedan,4,27,34,9549
nissan,0,sedan,6,17,22,13499
nissan,0,suv,6,17,22,14399
nissan,0,sedan,6,19,25,13499
nissan,3,hatchback,6,19,25,17199
nissan,3,hatchback,6,17,23,19699
nissan,1,hatchback,6,19,25,18399
peugot,0,sedan,4,19,24,11900
peugot,0,sedan,4,28,33,13200
peugot,0,suv,4,19,24,12440
peugot,0,suv,4,25,25,13860
peugot,0,sedan,4,19,24,15580
peugot,0,sedan,4,28,33,16900
peugot,0,suv,4,19,24,16695
peugot,0,suv,4,25,25,17075
peugot,0,sedan,4,19,24,16630
peugot,0,sedan,4,28,33,17950
peugot,0,sedan,4,18,24,18150
plymouth,1,hatchback,4,37,41,5572
plymouth,1,hatchback,4,24,30,7957
plymouth,1,hatchback,4,31,38,6229
plymouth,1,sedan,4,31,38,6692
plymouth,1,sedan,4,31,38,7609
plymouth,-1,suv,4,24,30,8921
plymouth,3,hatchback,4,19,24,12764
porsche,3,hatchback,4,19,27,22018
porsche,3,convertible,6,17,25,32528
porsche,3,convertible,6,17,25,34028
porsche,3,convertible,6,17,25,37028
renault,0,suv,4,23,31,9295
renault,2,hatchback,4,23,31,9895
saab,3,hatchback,4,21,28,11850
saab,2,sedan,4,21,28,12170
saab,3,hatchback,4,21,28,15040
saab,2,sedan,4,21,28,15510
saab,3,hatchback,4,19,26,18150
saab,2,sedan,4,19,26,18620
subaru,2,hatchback,4,31,36,5118
subaru,2,hatchback,4,26,31,7053
subaru,2,hatchback,4,26,31,7603
subaru,0,sedan,4,32,37,7126
subaru,0,sedan,4,28,33,7775
subaru,0,sedan,4,26,32,9960
subaru,0,sedan,4,24,25,9233
subaru,0,sedan,4,24,29,11259
subaru,0,suv,4,28,32,7463
subaru,0,suv,4,25,31,10198
subaru,0,suv,4,23,29,8013
subaru,0,suv,4,23,23,11694
toyota,1,hatchback,4,35,39,5348
toyota,1,hatchback,4,31,38,6338
toyota,1,hatchback,4,31,38,6488
toyota,0,suv,4,31,37,6918
toyota,0,suv,4,27,32,7898
toyota,0,suv,4,27,32,8778
toyota,0,sedan,4,30,37,6938
toyota,0,hatchback,4,30,37,7198
toyota,0,sedan,4,34,36,7898
toyota,0,hatchback,4,38,47,7788
toyota,0,sedan,4,38,47,7738
toyota,0,hatchback,4,28,34,8358
toyota,0,sedan,4,28,34,9258
toyota,1,sedan,4,29,34,8058
toyota,1,hatchback,4,29,34,8238
toyota,1,sedan,4,26,29,9298
toyota,1,hatchback,4,26,29,9538
toyota,2,convertible,4,24,30,8449
toyota,2,convertible,4,24,30,9639
toyota,2,hatchback,4,24,30,9989
toyota,2,convertible,4,24,30,11199
toyota,2,hatchback,4,24,30,11549
toyota,2,convertible,4,24,30,17669
toyota,-1,sedan,4,29,34,8948
toyota,-1,sedan,4,30,33,10698
toyota,-1,hatchback,4,27,32,9988
toyota,-1,sedan,4,27,32,10898
toyota,-1,hatchback,4,27,32,11248
toyota,3,hatchback,6,20,24,16558
toyota,3,hatchback,6,19,24,15998
toyota,-1,sedan,6,20,24,15690
toyota,-1,suv,6,19,24,15750
volkswagen,2,sedan,4,37,46,7775
volkswagen,2,sedan,4,27,34,7975
volkswagen,2,sedan,4,37,46,7995
volkswagen,2,sedan,4,27,34,8195
volkswagen,2,sedan,4,27,34,8495
volkswagen,2,sedan,4,37,42,9495
volkswagen,2,sedan,4,26,32,9995
volkswagen,3,convertible,4,24,29,11595
volkswagen,3,hatchback,4,24,29,9980
volkswagen,0,sedan,5,19,24,13295
volkswagen,0,sedan,4,33,38,13845
volkswagen,0,suv,4,25,31,12290
volvo,-2,sedan,4,23,28,12940
volvo,-1,suv,4,23,28,13415
volvo,-2,sedan,4,24,28,15985
volvo,-1,suv,4,24,28,16515
volvo,-2,sedan,4,17,22,18420
volvo,-1,suv,4,17,22,18950
volvo,-1,sedan,4,23,28,16845
volvo,-1,sedan,4,19,25,19045
volvo,-1,sedan,6,18,23,21485
volvo,-1,sedan,6,26,27,22470
volvo,-1,sedan,4,19,25,22625
